N,Scenario,Output,tokens_per_second,total_tokens,total_time,mean_time_per_token,max_time_per_token,min_time_per_token,accepted_tokens,total_draft_tokens,verification_rounds,total_draft_time,total_target_time,pipeline_total_time,draft_stage_busy_time,verify_stage_busy_time,pipeline_bubbles,rollback_events,flushed_batches,max_buffer_occupancy,buffer_capacity,batches_drafted,batches_verified,peak_memory_MB,model_memory_MB,memory_bandwidth_GB_per_s,peak_memory_bandwidth_GB_per_s,cpu_ram_delta_MB,gpu_utilization_pct,acceptance_rate,rollback_rate
50,Llama2 1.1b -> 7b - Multi-Token Pipeline,The first digits of pi are 3.1415926535897932384626433832795028841971693993,13.07617184788642,53,4.053174018859863,0.07647498148792195,0.47193384170532227,0.0347142219543457,39,109,14,4.053174018859863,0.7355589866638184,4.053174018859863,4.053174018859863,0.7355589866638184,14,8,8,2,2,23,14,15722.411008,15676.928,105.71620733928688,388.22218886898895,166.539264,122.08654944683059,0.3577981651376147,0.5714285714285714
50,Llama2 1.1b -> 7b - Multi-Token Pipeline with Adaptive K,The first digits of pi are 3.14159265358979323846264338327950288,15.32536979677915,51,3.327815294265747,0.06525128027972053,0.36159539222717285,0.03454136848449707,28,82,23,3.1390879154205322,2.5305497646331787,3.327815294265747,3.1390879154205322,2.5305497646331787,3,8,8,2,2,32,23,15716.860416,15676.928,147.35645159062136,390.1649478088484,0.016384,122.04344838400235,0.34146341463414637,0.34782608695652173
50,Llama2 1.1b -> 7b - Multi-Token Pipeline,The first digits of pi are 3.141592653589793238462643383279502884197169399,15.880733911553794,52,3.2744078636169434,0.06296938199263352,0.3392455577850342,0.03254556655883789,40,94,12,3.2744078636169434,0.6474206447601318,3.2744078636169434,3.2744078636169434,0.6474206447601318,11,6,6,2,2,19,12,15721.721856,15676.928,112.5489206982654,414.09115455512966,0.012288,122.08119809265969,0.425531914893617,0.5
50,Llama2 1.1b -> 7b - Multi-Token Pipeline with Adaptive K,The first digits of pi are 3.14159265358979323846264338327950288419716939937,20.405200058413296,58,2.8424127101898193,0.04900711569292792,0.3373990058898926,0.03313708305358887,42,75,16,2.7352168560028076,1.3500514030456543,2.8424127101898193,2.7352168560028076,1.3500514030456543,13,6,6,2,2,23,16,15722.836992,15676.928,133.9131914051217,406.6993829905137,0.0,122.08985726753654,0.56,0.375
50,Llama2 1.1b -> 7b - Multi-Token Pipeline,The first digits of pi are 3.14159265358979323846264338327950288419716939937,12.041222388912145,53,4.401546478271484,0.08304804675983933,0.3661167621612549,0.03354287147521973,38,128,15,4.401546478271484,1.3512296676635742,4.401546478271484,4.401546478271484,1.3512296676635742,14,10,10,2,2,26,15,15722.836992,15676.928,109.9079283093195,401.77929435636423,0.012288,122.08985726753654,0.296875,0.6666666666666666
50,Llama2 1.1b -> 7b - Multi-Token Pipeline with Adaptive K,The first digits of pi are 3.1415926535897932384626433832795028841,17.14958940624169,51,2.973832130432129,0.05831043393004174,0.4104650020599365,0.0340421199798584,32,81,19,2.973832130432129,1.7273664474487305,2.973832130432129,2.973832130432129,1.7273664474487305,6,6,6,2,2,26,19,15716.236288,15676.928,146.02963871834163,395.88695533573696,0.0,122.03860194957863,0.3950617283950617,0.3157894736842105
50,Llama2 1.1b -> 7b - Multi-Token Pipeline,The first digits of pi are 3.14159265358979323846264338327950288419716939937,16.795262820924467,54,3.2151923179626465,0.05954059848078975,0.330700159072876,0.032511234283447266,42,92,12,3.2151923179626465,0.9787840843200684,3.2151923179626465,3.2151923179626465,0.9787840843200684,10,6,6,2,2,19,12,15722.836992,15676.928,113.25321829293772,414.52844006176593,0.0,122.08985726753654,0.45652173913043476,0.5
50,Llama2 1.1b -> 7b - Multi-Token Pipeline with Adaptive K,The first digits of pi are 3.1415926535897932384626433832795028,15.133214399644697,53,3.502230167388916,0.06607981447903614,0.4935014247894287,0.032547712326049805,25,79,28,3.0610246658325195,2.643280267715454,3.502230167388916,3.0610246658325195,2.643280267715454,3,10,10,2,2,39,28,15714.365952,15676.928,157.37369984992048,414.06385484161103,0.012288,122.0240785492916,0.31645569620253167,0.35714285714285715
50,Llama2 1.1b -> 7b - Multi-Token Pipeline,The first digits of pi are 3.1415926535897932384626433832795028841971693,13.982453526046516,50,3.5759103298187256,0.0715182065963745,0.3298068046569824,0.03357505798339844,37,104,13,3.5759103298187256,1.255328893661499,3.5759103298187256,3.5759103298187256,1.255328893661499,11,7,7,2,2,21,13,15720.60672,15676.928,112.98070494639067,401.3941312823278,0.012288,122.07253891778282,0.3557692307692308,0.5384615384615384
50,Llama2 1.1b -> 7b - Multi-Token Pipeline with Adaptive K,The first digits of pi are 3.1415926535897932384626433832795028841971693,17.11640521899199,52,3.0380210876464844,0.058423482454740085,0.33066487312316895,0.03412818908691406,37,85,15,3.0380210876464844,1.1203038692474365,3.0380210876464844,3.0380210876464844,1.1203038692474365,12,7,7,2,2,23,15,15720.60672,15676.928,128.09677172500398,394.8885537899076,0.008192,122.07253891778282,0.43529411764705883,0.4666666666666667
